Trans #,Date,Description,Account,Name,Code,Tax Code,Split,Debit,Credit,Amount,Account Type
"375,742",16/11/2023,Funds Transfer,1204,Choices Flooring Noosaville,1-1204,N-T,1222 · Universal Home Improvements Acc,,"50,000.00","-50,000.00",Bank
"375,742",16/11/2023,Funds Transfer,1222,Universal Home Improvements Acc,1-1222,N-T,1204 · Choices Flooring Noosaville,"50,000.00",,"50,000.00",Bank
"376,387",23/11/2023,Funds Transfer,1204,Choices Flooring Noosaville,1-1204,N-T,1222 · Universal Home Improvements Acc,,"50,000.00","-50,000.00",Bank
"376,387",23/11/2023,Funds Transfer,1222,Universal Home Improvements Acc,1-1222,N-T,1204 · Choices Flooring Noosaville,"50,000.00",,"50,000.00",Bank
"376,512",24/11/2023,Funds Transfer,1222,Universal Home Improvements Acc,1-1222,N-T,1208 · NAB Qantas Business Card,,"50,000.00","-50,000.00",Bank
"376,512",24/11/2023,Funds Transfer,1208,NAB Qantas Business Card,1-1208,N-T,1222 · Universal Home Improvements Acc,"50,000.00",,"50,000.00",Bank
"377,147",29/11/2023,Funds Transfer,1220,Term Deposit Macquarie Bank,1-1220,N-T,1221 · UHI 2nd Account,,"259,750.00","-259,750.00",Bank
"377,147",29/11/2023,Funds Transfer,1221,UHI 2nd Account,1-1221,N-T,1220 · Term Deposit Macquarie Bank,"259,750.00",,"259,750.00",Bank
"377,602",06/12/2023,Funds Transfer,1204,Choices Flooring Noosaville,1-1204,N-T,1208 · NAB Qantas Business Card,,"35,000.00","-35,000.00",Bank
"377,602",06/12/2023,Funds Transfer,1208,NAB Qantas Business Card,1-1208,N-T,1204 · Choices Flooring Noosaville,"35,000.00",,"35,000.00",Bank
"378,035",11/12/2023,Funds Transfer,1222,Universal Home Improvements Acc,1-1222,N-T,1208 · NAB Qantas Business Card,,"50,000.00","-50,000.00",Bank
"378,035",11/12/2023,Funds Transfer,1208,NAB Qantas Business Card,1-1208,N-T,1222 · Universal Home Improvements Acc,"50,000.00",,"50,000.00",Bank
"377,708",12/12/2023,Funds Transfer,1222,Universal Home Improvements Acc,1-1222,N-T,1208 · NAB Qantas Business Card,,"11,519.32","-11,519.32",Bank
"377,708",12/12/2023,Funds Transfer,1208,NAB Qantas Business Card,1-1208,N-T,1222 · Universal Home Improvements Acc,"11,519.32",,"11,519.32",Bank
"378,702",18/12/2023,Funds Transfer,1204,Choices Flooring Noosaville,1-1204,N-T,1208 · NAB Qantas Business Card,,"55,000.00","-55,000.00",Bank
"378,702",18/12/2023,Funds Transfer,1208,NAB Qantas Business Card,1-1208,N-T,1204 · Choices Flooring Noosaville,"55,000.00",,"55,000.00",Bank
"378,979",20/12/2023,Funds Transfer,1222,Universal Home Improvements Acc,1-1222,N-T,1208 · NAB Qantas Business Card,,"70,000.00","-70,000.00",Bank
"378,979",20/12/2023,Funds Transfer,1208,NAB Qantas Business Card,1-1208,N-T,1222 · Universal Home Improvements Acc,"70,000.00",,"70,000.00",Bank
"378,981",20/12/2023,Funds Transfer,1204,Choices Flooring Noosaville,1-1204,N-T,1222 · Universal Home Improvements Acc,,"30,000.00","-30,000.00",Bank
"378,981",20/12/2023,Funds Transfer,1222,Universal Home Improvements Acc,1-1222,N-T,1204 · Choices Flooring Noosaville,"30,000.00",,"30,000.00",Bank
